R1	R2	R3	P1	P2	P3	P4	P5	A	B	C	D	E	Distr	Type	T_min	T_max	Formula	Number	n3	n4	comment	enthalpy
N	HS		S	NH				1.73e-11	0.5	9060.0	2.0	0.0	logn	4	10.0	800.0	3	2002	1	1		21.92893906547064
N	NH		H	N2				5e-11	0.1	0.0	2.0	6.0	logn	4	10.0	500.0	3	2003	1	3		-577.1654680511535
N	NO		O	N2				3.8e-11	-0.27	23.0	1.4	70.0	logn	4	10.0	300.0	3	2004	1	3	modified by Urso 24/6/2016 from Loison 2014	-303.04418603977064
N	NS		S	N2				3e-11	-0.6	0.0	2.0	0.0	logn	4	10.0	300.0	3	2005	1	1		-469.69473939951666
N	OH		H	NO				6.6e-11	0.26	0.0	1.4	7.0	logn	4	10.0	300.0	3	2006	1	3	modified by Urso 24/6/2016 from Loison 2014	-175.96606436438913
N	O2		O	NO				3.1e-12	1.01	3120.0	1.6	0.0	logn	4	280.0	5000.0	3	2007	1	2		-122.85324551848673
N	PH		H	PN				5e-11	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2008	1	1		-270.3181662066274
N	PO		O	PN				3e-11	-0.6	0.0	2.0	0.0	logn	4	10.0	300.0	3	2009	1	1	CC 2021jul23: Mancini et al. 2021	-5.773816254847407
N	PO		P	NO				2.55e-12	0.0	0.0	2.0	0.0	logn	4	10.0	800.0	3	2010	1	1	CC 2021jul23: Mancini et al. 2021	-45.16658496067811
N	SiC		Si	CN				5e-11	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2011	1	1		-307.9511960289208
N	SiC		C	SiN				5e-11	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2012	1	1		-11.403912628608218
N	SiH		H	SiN				1.66e-10	-0.09	0.0	2.0	0.0	logn	4	10.0	300.0	3	2013	1	1		-118.42691473119942
N	SO		S	NO				1.5e-11	0.0	3680.0	2.0	0.0	logn	4	10.0	300.0	3	2014	1	1		-108.89923705535692
N	SO		O	NS				4.68e-11	0.5	8250.0	2.0	0.0	logn	4	10.0	800.0	3	2015	1	1		57.75131630446376
N	CH2		H	HCN				5e-11	0.17	0.0	1.5	0.0	logn	4	10.0	300.0	3	2016	1	3		-483.86083576855356
N	CH2		H	HNC				3e-11	0.17	0.0	1.5	0.0	logn	4	10.0	300.0	3	2017	1	3		-424.0149295362662
N	CH2		CH	NH				9.96e-13	0.0	20400.0	2.0	0.0	logn	4	10.0	800.0	3	2018	1	1		93.63204265950603
N	HCO		H	OCN				1e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2019	1	1		-146.907605760858
N	HCO		CO	NH				5.71e-12	0.5	1000.0	2.0	0.0	logn	4	10.0	800.0	3	2020	1	1		-258.22406208549626
N	HCS		S	HCN				1e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2021	1	1		-342.2953615197967
N	NO2		O	N2O				1.1e-11	0.0	0.0	1.4	10.0	logn	4	10.0	400.0	3	2022	1	2		-164.33593863848725
N	O2H		NH	O2				1.7e-13	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2023	1	1		-119.44185434370894
N	SiH2		H	HNSi				8e-11	0.167	0.0	2.0	0.0	logn	4	10.0	300.0	3	2024	1	1		-321.24247310584514
N	CCH		C	HCN				8e-12	0.17	0.0	2.0	0.0	logn	4	10.0	300.0	3	2025	1	2		-189.86669640834594
N	CCH		C	HNC				2e-12	0.17	0.0	2.0	0.0	logn	4	10.0	300.0	3	2026	1	2		-130.02079017602125
N	CCH		H	CCN				1.5e-10	0.17	0.0	2.0	0.0	logn	4	10.0	300.0	3	2027	1	2		-130.44852879206016
N	CCN		CN	CN				9e-11	0.17	0.0	3.0	0.0	logn	4	10.0	298.0	3	2028	1	3	 modified by Urso 2016/6/24 from Loison et al. 2014	-243.64503229588345
N	CCO		CN	CO				5.5e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2029	1	1		-495.79588971327547
N	c-C3H		H	C3N				1.1e-10	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2030	1	2		-221.8177998571621
N	c-C3H		CN	CCH				5e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2031	1	2		-153.775759379514
N	l-C3H		H	C3N				1.1e-10	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2032	1	2		-229.95251840187444
N	l-C3H		CN	CCH				5e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2033	1	2		-161.91047792422634
N	C3N		CN	CCN				9e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2034	1	2		-62.40648831433743
N	CH3		H	H	HCN			6e-12	0.17	0.0	2.0	7.0	logn	4	10.0	300.0	3	2035	1	2		-33.7068331936361
N	CH3		H	H2CN				5.6e-11	0.17	0.0	1.6	7.0	logn	4	10.0	300.0	3	2036	1	2		-140.49507619583107
N	H2CN		NH	HCN				5e-12	0.0	0.0	4.0	0.0	logn	4	10.0	300.0	3	2037	1	2		-210.6021224653997
N	H2CN		N2	CH2				4e-11	0.0	0.0	3.0	0.0	logn	4	10.0	300.0	3	2038	1	2		-303.90675474796234
N	SiH3		H2	HNSi				1e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2039	1	1		-468.962901960011
N	C2H3		H	H2CCN				6.4e-11	0.17	0.0	2.0	7.0	logn	4	10.0	300.0	3	2040	1	2		-271.590116033657
N	C2H3		NH	C2H2				1.3e-11	0.17	0.0	2.0	7.0	logn	4	10.0	300.0	3	2041	1	2		-169.30852049528772
N	c-C3H2		H	HC3N				1e-13	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2042	1	1		-351.9975561937284
N	l-C3H2		H	HC3N				1e-13	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2043	1	1		-404.9393499565928
N	CH2CCH		H2	HC3N				8e-11	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2044	1	1		-424.8797559120755
N	C4		CN	C3				3e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2045	1	2		-263.87261835115163
N	C5		CN	C4				0.0	0.0	0.0	0.0	0.0	logn	4	10.0	300.0	3	2046	1	1	modified by Urso 2016/6/24 Loison et al. 2014 (Barrier)	-7.242865007235977
N	C4H		CN	l-C3H				1e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2047	1	2	modified by Urso 2016/6/24 from Loison et al. 2014	-93.39237912477815
N	C4H		C	HC3N				7e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2048	1	2		-175.35991513322622
N	C4H		C3	HCN				1e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2049	1	2		-311.8344132193111
N	C4H		H	C4N				7e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2050	1	2		-174.0000898146379
N	C4N		CN	C3N				9e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2051	1	3		-149.3448077120147
N	C5H		HNC	C4				1e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2052	1	2		-120.23329300045472
N	C5H		H	C5N				6e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2053	1	2		-204.72245916989687
N	C5H		CCH	C3N				1e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2054	1	2		-81.36874080340351
N	C5H		CN	C4H				1e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2055	1	2		-132.11740436461992
N	C5H		C2	HC3N				3e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2056	1	2		-177.83227778306033
N	C5H		HCN	C4				3e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2057	1	2		-180.0791992327794
N	C5N		CN	C4N				9e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2058	1	2		-101.39503500936095
N	C2H5		CH3	H2CN				6e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2059	1	2		-192.0767952176515
N	C2H5		NH	C2H4				4e-11	0.0	0.0	3.0	0.0	logn	4	10.0	300.0	3	2060	1	2		-169.28839341071222
N	C5H2		H	HC5N				1e-13	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2061	1	1		-410.2053157077649
N	C6		CN	C5				1.5e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2062	1	2		-220.88091899135452
N	C6		C3	C3N				1.5e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2063	1	2		-185.9448817394466
N	C6H		H	C6N				1e-10	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2064	1	2		-182.06649284412768
N	C6H		C	HC5N				6e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2065	1	2		-159.89406489007308
N	C7		CN	C6				0.0	0.0	0.0	0.0	0.0	logn	4	10.0	300.0	3	2066	1	1	modified by Urso 2016/6/24 Loison et al. 2014 (Barrier)	-51.40745407151011
N	C7H		CCH	C5N				2e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2067	1	2		-69.01660252223516
N	C7H		C3N	C4H				2e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2068	1	2		-64.45358819475557
N	C7H		CN	C6H				2e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2069	1	2		-133.31187568062379
N	C7H		H	C7N				1e-10	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2070	1	2		-206.8180546645202
N	C7H2		H	HC7N				1e-13	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2071	1	1		-422.62676719390396
N	C7N		CN	C6N				9e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2072	1	2		-108.56031386008203
N	C8		C3N	C5				1e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2073	1	2		-167.7870798864106
N	C8		C3	C5N				1e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2074	1	2		-188.16272052349714
N	C8		CN	C7				1e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2075	1	2		-201.55022743376685
N	C8H		H	C8N				8e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2076	1	2		-185.9381604588262
N	C8H		C	HC7N				8e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2077	1	2		-153.63589635825116
N	C9		CN	C8				0.0	0.0	0.0	0.0	0.0	logn	4	10.0	300.0	3	2078	1	1	modified by Urso 2016/6/24 Loison et al. 2014 (Barrier)	-66.61537517486651
N	C9H		CCH	C7N				1e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2079	1	2		-75.16155948546819
N	C9H		C4H	C5N				1e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2080	1	2		-56.15081138219692
N	C9H		C3N	C6H				1e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2081	1	2		-69.69742097921991
N	C9H		CN	C8H				1e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2082	1	2		-132.8239002134839
N	C9H		H	C9N				1.2e-10	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2083	1	2		-207.53127179385532
N	C9N		CN	C8N				9e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2084	1	2		-111.23078887845479
O	C2		C	CO				2e-10	0.17	0.0	3.0	0.0	logn	4	10.0	298.0	3	2085	1	3	modified by Urso 14/6/16 Loison et al. 2014	-466.0158806426259
O	CCl		C	ClO				1.38e-10	0.0	16000.0	2.0	0.0	logn	4	10.0	300.0	3	2086	1	1		141.1664244731933
O	CCl		Cl	CO				9.96e-11	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2087	1	1		-659.7597923477255
O	ClO		Cl	O2				4e-11	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2088	1	1		-230.0047921107603
O	CN		N	CO				7e-11	0.17	0.0	2.0	0.0	logn	4	10.0	300.0	3	2089	1	3	modified by Urso 2016/6/28 from Loision et al. 2014	-336.3708389277655
O	CN		C	NO				3.81e-11	0.5	14500.0	2.0	0.0	logn	4	10.0	800.0	3	2090	1	1		111.69734026427943
O	CP		P	CO				4e-11	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2091	1	1		-559.815952689483
O	CS		S	CO				1.94e-11	0.0	231.0	2.0	0.0	logn	4	10.0	150.0	3	2092	1	1		-364.1169701368669
O	CS		S	CO				2.6e-10	0.0	760.0	1.3	0.0	logn	4	150.0	300.0	3	2092	2	2		-364.1169701368669
O	CS		C	SO				4.68e-11	0.5	28900.0	2.0	0.0	logn	4	10.0	800.0	3	2093	1	1		192.85044611046035
O	HS		H	SO				1.6e-10	0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	2094	1	1		-143.2931058906673
O	HS		S	OH				1.74e-11	0.67	956.0	2.0	0.0	logn	4	10.0	800.0	3	2095	1	1		-76.22627858163509
O	NH		H	NO				6.6e-11	0.0	0.0	3.0	2.97	logn	4	10.0	298.0	3	2096	1	3		-274.1212820113456
O	NS		S	NO				1e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2097	1	1		-166.65055335982066
O	NS		N	SO				1e-11	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2098	1	1		-57.75131630446376
O	OH		H	O2				2e-11	0.0	0.0	2.0	7.0	logn	4	10.0	50.0	3	2099	1	3	modified by Urso 2016/6/24 from Loison 2014	-53.1128188459024
O	OH		H	O2				3.5e-11	0.0	0.0	1.29	0.0	logn	4	50.0	140.0	3	2099	2	2		-53.1128188459024
O	OH		H	O2				2.4e-11	0.0	-110.0	1.2	50.0	logn	4	140.0	500.0	3	2099	3	3		-53.1128188459024
O	PH		H	PO				1e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2100	1	1		-264.5443499516307
O	S2		S	SO				1.7e-11	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2101	1	1		-92.11273395678113
O	SiC		Si	CO				5e-11	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2102	1	1		-644.3220349567608
O	SiC		C	SiO				5e-11	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2103	1	1		-361.45353145908996
O	SiH		H	SiO				1e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2104	1	1		-468.4765335615319
O	SiN		N	SiO				5e-11	0.0	0.0	1.25	0.0	logn	4	10.0	300.0	3	2105	1	1		-350.04961883033246
O	SiN		Si	NO				5e-11	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2106	1	1		-184.84994313603312
O	CCH		CH	CO				7e-11	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2107	1	2		-334.56327918352764
O	CCN		CN	CO				7e-11	0.17	0.0	3.0	0.0	logn	4	10.0	300.0	3	2108	1	2		-580.0158712237236
O	CCO		CO	CO				8.6e-11	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2109	1	1		-832.166728641041
S	H2O+		OH	HS+				4.3e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2110	1	1		-72.48396936158036
S	H2O+		H	HSO+				4.3e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2111	1	1		-63.31309716300202
C2	H2O+		OH	C2H+				4.7e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2112	1	1		-71.14167450779482
CH	H2O+		OH	CH2+				0.5	1.24e-09	3.33	2.0	0.0	logn	4	10.0	800.0	4	2113	1	1		-137.8655511040054
CO	H2O+		OH	HCO+				1.0	9.86e-10	0.251	2.0	0.0	logn	4	10.0	800.0	5	2114	1	1		2.5492294191413896
H2	H2O+		H	H3O+				6.1e-10	0.0	0.0	1.25	0.0	logn	4	10.0	300.0	3	2115	1	1		-149.43567916192694
NH	H2O+		N	H3O+				1.0	9.85e-10	4.4	2.0	0.0	logn	4	10.0	800.0	4	2116	1	1		-259.4996876125877
OH	H2O+		O	H3O+				1.0	8.21e-10	5.5	2.0	0.0	logn	4	10.0	800.0	4	2117	1	1		-161.34446996563122
CCH	H2O+		OH	C2H2+				0.5	1.52e-09	1.34	2.0	0.0	logn	4	10.0	134.0	4	2118	1	1		-179.73134671121045
CCH	H2O+		OH	C2H2+				0.5	1.52e-09	1.34	2.0	0.0	logn	4	134.0	800.0	5	2118	2	1		-179.73134671121045
CH2	H2O+		OH	CH3+				0.5	1.21e-09	1.41	2.0	0.0	logn	4	10.0	150.0	4	2119	1	1		-228.4183336149608
CH2	H2O+		OH	CH3+				0.5	1.21e-09	1.41	2.0	0.0	logn	4	150.0	800.0	5	2119	2	1		-228.4183336149608
H2O	H2O+		OH	H3O+				1.0	9.26e-10	5.41	2.0	0.0	logn	4	10.0	800.0	4	2120	1	1		-93.95393686043656
H2S	H2O+		HS	H3O+				0.271	1.29e-09	1.77	2.0	0.0	logn	4	10.0	234.0	4	2121	1	1		-207.80230217944683
H2S	H2O+		HS	H3O+				0.271	1.29e-09	1.77	2.0	0.0	logn	4	234.0	800.0	5	2121	2	1		-207.80230217944683
H2S	H2O+		OH	H3S+				0.321	1.29e-09	1.77	2.0	0.0	logn	4	10.0	234.0	4	2122	1	1		-111.56963330881042
H2S	H2O+		OH	H3S+				0.321	1.29e-09	1.77	2.0	0.0	logn	4	234.0	800.0	5	2122	2	1		-111.56963330881042
HCN	H2O+		OH	HCNH+				1.0	1.13e-09	6.61	2.0	0.0	logn	4	10.0	800.0	4	2123	1	1		-116.2232799034547
HCO	H2O+		OH	H2CO+				0.333	1.12e-09	3.58	2.0	0.0	logn	4	10.0	800.0	4	2124	1	1		-39.136651161265895
HCO	H2O+		CO	H3O+				0.333	1.12e-09	3.58	2.0	0.0	logn	4	10.0	800.0	4	2125	1	1		-517.723749698084
HNC	H2O+		OH	HCNH+				1.0	1.18e-09	6.5	2.0	0.0	logn	4	10.0	800.0	4	2126	1	1		-176.06918613570474
NH2	H2O+		OH	NH3+				0.5	1.07e-09	4.6	2.0	0.0	logn	4	10.0	800.0	4	2127	1	1		-183.26289127719528
H2CO	H2O+		OH	H2COH+				0.32	1.13e-09	5.15	2.0	0.0	logn	4	10.0	800.0	4	2128	1	1		-118.12661001836226
NH3	H2O+		OH	NH4+				0.29	1.14e-09	3.65	2.0	0.0	logn	4	10.0	800.0	4	2129	1	1		-257.31400070409086
CH4	H2O+		CH3	H3O+				1.3e-09	0.0	0.0	1.25	0.0	logn	4	10.0	300.0	3	2130	1	1		-151.0050585164034
C	H2S+		H	HCS+				1e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2131	1	1		-439.5593268689563
H	H2S+		H2	HS+				2e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2132	1	2		-68.18570496069923
N	H2S+		H2	NS+				7.9e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2133	1	1		-293.4085422821891
O	H2S+		OH	HS+				3.1e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2134	1	1		-56.27691415699495
O	H2S+		H2	SO+				3.1e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2135	1	1		-205.9399506091015
H2O	H2S+		HS	H3O+				1.0	8.08e-10	5.41	2.0	0.0	logn	4	10.0	800.0	4	2136	1	1		-1.5206030743652958
H2S	H2S+		HS	H3S+				1.0	1.08e-09	1.77	2.0	0.0	logn	4	10.0	234.0	4	2137	1	1		-19.136299522589923
H2S	H2S+		HS	H3S+				1.0	1.08e-09	1.77	2.0	0.0	logn	4	234.0	800.0	5	2137	2	1		-19.136299522589923
NH3	H2S+		HS	NH4+				0.699	1.01e-09	3.65	2.0	0.0	logn	4	10.0	800.0	4	2138	1	1		-164.88066691801959
C	H3+		H2	CH+				2e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2139	1	1		-207.3062609132167
Cl	H3+		H2	HCl+				1e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2140	1	1		-102.2671917817009
Fe	H3+		H	H2	Fe+			4.9e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2141	1	1		
Mg	H3+		H	H2	Mg+			1e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2142	1	1		-173.52410736984183
F	H3+		H	H2F+				4.8e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2143	1	1		-200.70229326368818
Na	H3+		H	H2	Na+			1.1e-09	0.0	0.0	1.5	0.0	logn	4	10.0	300.0	3	2144	1	1		-421.73335909788705
O	H3+		H	H2O+				3.42e-10	-0.156	1.41	1.4	0.0	logn	4	10.0	300.0	3	2145	1	3		-164.88700487537386
O	H3+		H2	OH+				7.98e-10	-0.156	1.41	1.4	0.0	logn	4	10.0	300.0	3	2146	1	3		-73.8413999613454
P	H3+		H2	PH+				1e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2147	1	1		-203.6106855965219
S	H3+		H2	HS+				2.6e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2148	1	1		-249.2797650406212
Si	H3+		H2	SiH+				3.7e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2149	1	1		-427.09869740611475
C2	H3+		H2	C2H+				1.8e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2150	1	1		-247.93747018683564
CH	H3+		H2	CH2+				1.0	2.18e-09	3.33	2.0	0.0	logn	4	10.0	800.0	4	2151	1	1		-314.6613467831022
CN	H3+		H2	HCN+				1.0	2.42e-09	2.84	2.0	0.0	logn	4	10.0	607.0	4	2152	1	1		-117.76798480704342
CN	H3+		H2	HCN+				1.0	2.42e-09	2.84	2.0	0.0	logn	4	607.0	800.0	5	2152	2	1		-117.76798480704342
CO	H3+		H2	HCO+				0.945	1.99e-09	0.251	2.0	0.0	logn	4	10.0	800.0	5	2153	1	1		-174.24656625989942
CO	H3+		H2	HOC+				0.0554	1.99e-09	0.251	2.0	0.0	logn	4	10.0	800.0	5	2154	1	1		-18.14687425884544
CP	H3+		H2	HCP+				1.0	3.25e-09	1.38	2.0	0.0	logn	4	10.0	144.0	4	2155	1	1		-362.68139362395397
CP	H3+		H2	HCP+				1.0	3.25e-09	1.38	2.0	0.0	logn	4	144.0	800.0	5	2155	2	1		-362.68139362395397
CS	H3+		H2	HCS+				1.0	2.88e-09	3.28	2.0	0.0	logn	4	10.0	800.0	4	2156	1	1		-372.64490433294077
HCl	H3+		H2	H2Cl+				1.0	2.24e-09	2.34	2.0	0.0	logn	4	10.0	413.0	4	2157	1	1		-145.13688414727622
HCl	H3+		H2	H2Cl+				1.0	2.24e-09	2.34	2.0	0.0	logn	4	413.0	800.0	5	2157	2	1		-145.13688414727622
HF	H3+		H2	H2F+				1.0	1.29e-09	6.99	2.0	0.0	logn	4	10.0	800.0	4	2158	1	1		-70.48598445079924
HS	H3+		H2	H2S+				1.0	2.55e-09	1.44	2.0	0.0	logn	4	10.0	156.0	4	2159	1	1		-269.22912946511207
HS	H3+		H2	H2S+				1.0	2.55e-09	1.44	2.0	0.0	logn	4	156.0	800.0	5	2159	2	1		-269.22912946511207
MgH	H3+		H2	H2	Mg+			7.2e-09	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	2160	1	1		-475.4764211277958
N2	H3+		H2	N2H+				1.7e-09	0.0	0.0	1.25	0.0	logn	4	10.0	300.0	3	2161	1	1		-74.50349860179173
NaH	H3+		H2	H2	Na+			3.8e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	2162	1	1		-671.4265091449694
NH	H3+		H2	NH2+				1.0	1.78e-09	4.4	2.0	0.0	logn	4	10.0	800.0	4	2163	1	1		-206.63788732729554
NO	H3+		H2	HNO+				1.0	1.84e-09	0.411	2.0	0.0	logn	4	10.0	13.0	4	2164	1	1		-116.39608481309025
NO	H3+		H2	HNO+				1.0	1.84e-09	0.411	2.0	0.0	logn	4	13.0	800.0	5	2164	2	1		-116.39608481309025
NS	H3+		H2	HNS+				1.0	2.71e-09	3.27	2.0	0.0	logn	4	10.0	800.0	4	2165	1	1		-296.4350351275889
O2	H3+		H2	HO2+				6.4e-10	0.0	0.0	1.25	0.0	logn	4	10.0	300.0	3	2166	1	1		-9.435753400216308
OH	H3+		H2	H2O+				1.0	1.52e-09	5.5	2.0	0.0	logn	4	10.0	800.0	4	2167	1	1		-176.79579567907814
PH	H3+		H2	PH2+				1.0	2.85e-09	0.727	2.0	0.0	logn	4	10.0	40.0	4	2168	1	1		-263.46221827574635
PH	H3+		H2	PH2+				1.0	2.85e-09	0.727	2.0	0.0	logn	4	40.0	800.0	5	2168	2	1		-263.46221827574635
PN	H3+		H2	HPN+				1.0	2.86e-09	4.64	2.0	0.0	logn	4	10.0	800.0	4	2169	1	1		-373.37836406875783
PO	H3+		H2	HPO+				1.0	2.79e-09	3.4	2.0	0.0	logn	4	10.0	800.0	4	2170	1	1		-168.66735207985928
S2	H3+		H2	HS2+				2e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2171	1	1		-238.77697659033393
SiC	H3+		H2	CHSi+				1.0	3.67e-09	2.1	2.0	0.0	logn	4	10.0	330.0	4	2172	1	1		-489.599307277121
SiC	H3+		H2	CHSi+				1.0	3.67e-09	2.1	2.0	0.0	logn	4	330.0	800.0	5	2172	2	1		-489.599307277121
SiH	H3+		H2	SiH2+				1.0	3.33e-09	0.154	2.0	0.0	logn	4	10.0	800.0	5	2173	1	1		-333.6025611389013
SiN	H3+		H2	HNSi+				1.0	2.86e-09	4.41	2.0	0.0	logn	4	10.0	800.0	4	2174	1	1		-287.8793701358853
SiO	H3+		H2	HSiO+				1.0	2.95e-09	5.1	2.0	0.0	logn	4	10.0	800.0	4	2175	1	1		-118.67961361187149
SiS	H3+		H2	HSiS+				1.0	3.78e-09	2.14	2.0	0.0	logn	4	10.0	344.0	4	2176	1	1		-225.41690878260218
SiS	H3+		H2	HSiS+				1.0	3.78e-09	2.14	2.0	0.0	logn	4	344.0	800.0	5	2176	2	1		-225.41690878260218
SO	H3+		H2	HSO+				1.0	2.58e-09	2.93	2.0	0.0	logn	4	10.0	644.0	4	2177	1	1		-173.04206553301063
SO	H3+		H2	HSO+				1.0	2.58e-09	2.93	2.0	0.0	logn	4	644.0	800.0	5	2177	2	1		-173.04206553301063
CCH	H3+		H2	C2H2+				1.0	3.01e-09	1.34	2.0	0.0	logn	4	10.0	134.0	4	2178	1	1		-356.5271423902513
CCH	H3+		H2	C2H2+				1.0	3.01e-09	1.34	2.0	0.0	logn	4	134.0	800.0	5	2178	2	1		-356.5271423902513
CCN	H3+		H2	HC2N+				1.0	2.9e-09	0.62	2.0	0.0	logn	4	10.0	29.0	4	2179	1	1		-289.9378673127286
CCN	H3+		H2	HC2N+				1.0	2.9e-09	0.62	2.0	0.0	logn	4	29.0	800.0	5	2179	2	1		-289.9378673127286
CCS	H3+		H2	HC2S+				1.0	3.64e-09	4.12	2.0	0.0	logn	4	10.0	800.0	4	2180	1	1		-452.40991084910524
C3	H3+		H2	C3H+				2e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2181	1	1		-330.19130123908843
CCO	H3+		H2	C2HO+				7.12e-09	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	2182	1	1		-184.0953688651155
CCP	H3+		H2	PC2H+				5.42e-09	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	2183	1	1		-464.91821388203203
CH2	H3+		H2	CH3+				1.0	2.17e-09	1.41	2.0	0.0	logn	4	10.0	150.0	4	2184	1	1		-405.2141292940389
CH2	H3+		H2	CH3+				1.0	2.17e-09	1.41	2.0	0.0	logn	4	150.0	800.0	5	2184	2	1		-405.2141292940389
